date,state,fips,cases,deaths
2020-01-21,Washington,53,1,0
2020-01-22,Washington,53,1,0
2020-01-23,Washington,53,1,0
2020-01-24,Illinois,17,1,0
2020-01-24,Washington,53,1,0
2020-01-25,California,06,1,0
2020-01-25,Illinois,17,1,0
2020-01-25,Washington,53,1,0
2020-01-26,Arizona,04,1,0
2020-01-26,California,06,2,0
2020-01-26,Illinois,17,1,0
2020-01-26,Washington,53,1,0
2020-01-27,Arizona,04,1,0
2020-01-27,California,06,2,0
2020-01-27,Illinois,17,1,0
2020-01-27,Washington,53,1,0
2020-01-28,Arizona,04,1,0
2020-01-28,California,06,2,0
2020-01-28,Illinois,17,1,0
2020-01-28,Washington,53,1,0
2020-01-29,Arizona,04,1,0
2020-01-29,California,06,2,0
2020-01-29,Illinois,17,1,0
2020-01-29,Washington,53,1,0
2020-01-30,Arizona,04,1,0
2020-01-30,California,06,2,0
2020-01-30,Illinois,17,2,0
2020-01-30,Washington,53,1,0
2020-01-31,Arizona,04,1,0
2020-01-31,California,06,3,0
2020-01-31,Illinois,17,2,0
2020-01-31,Washington,53,1,0
2020-02-01,Arizona,04,1,0
2020-02-01,California,06,3,0
2020-02-01,Illinois,17,2,0
2020-02-01,Massachusetts,25,1,0
2020-02-01,Washington,53,1,0
2020-02-02,Arizona,04,1,0
2020-02-02,California,06,6,0
2020-02-02,Illinois,17,2,0
2020-02-02,Massachusetts,25,1,0
2020-02-02,Washington,53,1,0
